tozeur	40	0.78%	3	0.28%	54	0,69
kebeli	41	0.80%	12	1.14%	66	0,84
zaghouan	49	0.95%	20	1.89%	81	1,03
tataouine	85	1.66%	13	1.23%	147	1,88
kef	100	1.95%	32	3.03%	178	2,27
jendouba	119	2.32%	42	3.97%	188	2,4
manouba	135	2.63%	27	2.55%	199	2,54
bizert	130	2.53%	47	4.45%	205	2,61
sidiBouzid	175	3.41%	47	4.45%	234	2,98
siliana	114	2.22%	15	1.42%	238	3,04
gafsa	149	2.90%	46	4.35%	254	3,24
beja	136	2.65%	36	3.41%	255	3,25
gabes	184	3.58%	40	3.78%	274	3,49
medenine	187	3.64%	59	5.58%	287	3,66
monastir	208	4.05%	34	3.22%	295	3,76
mahdia	193	3.76%	38	3.60%	312	3,98
ariana	255	4.97%	26	2.46%	319	4,07
kairouan	180	3.51%	63	5.96%	320	4,08
kasserine	310	6.04%	59	5.58%	449	5,73
sousse	243	4.73%	75	7.10%	480	6,12
sfax	355	6.91%	104	9.84%	546	6,96
benArous	409	7.97%	31	2.93%	566	7,22
nabeul	354	6.90%	82	7.76%	572	7,3
tounes	983	19.15%	106	10.03%	1321	16,85
